review_title,review_rating,review_date,review_body,user_contributions,review_short_date,review_year,review_month,review_title_length,review_length,overall_sentiment,tokens
pricey but nice,Excellent,2023-09-01,we stayed at romeo napoli towards the end of our honeymoon the deluxe front room was quite nice with nice amenities and the most comfortable bed we stayed in during our 2 week visit to italy the room itself had a lot of smart features which took a moment to figure out but was great the location is adjacent to the port and walking distance to the cruise terminal we were in ischia prior to arriving in napoli and the close proximity was excellent please note that this is a pretty industrial port you re not going to have a positano esque view from your room that said the view in the breakfast area was pretty cool we watched a thunderstorm roll in up there seeing some lightning strike around vesuvio felt like something out of roman mythology the staff was very ,7,September 2023,2023,September,3,142,positive,"['stayed', 'romeo', 'napoli', 'towards', 'end', 'honeymoon', 'deluxe', 'front', 'room', 'quite', 'nice', 'nice', 'amenities', 'comfortable', 'bed', 'stayed', 'week', 'visit', 'italy', 'room', 'lot', 'smart', 'features', 'took', 'moment', 'figure', 'great', 'location', 'adjacent', 'port', 'walking', 'distance', 'cruise', 'terminal', 'ischia', 'prior', 'arriving', 'napoli', 'close', 'proximity', 'excellent', 'please', 'note', 'pretty', 'industrial', 'port', 'going', 'positano', 'esque', 'view', 'room', 'said', 'view', 'breakfast', 'area', 'pretty', 'cool', 'watched', 'thunderstorm', 'roll', 'seeing', 'lightning', 'strike', 'around', 'vesuvio', 'felt', 'like', 'something', 'roman', 'mythology', 'staff']"
very happy i made this choice,Excellent,2023-09-01,if you are going to stay here book a junior corner suite the hotel is beautifully appointed slightly quirky in some of its decor in common areas the people at reception are happy and smiling all the time breakfast is excellent the pool is small but fine if you want to take a dip we wouldn t hesitate to stay there again the surrounding area is a bit rough but there are great restaurants on the doorstep ,15,September 2023,2023,September,6,77,positive,"['going', 'stay', 'book', 'junior', 'corner', 'suite', 'hotel', 'beautifully', 'appointed', 'slightly', 'quirky', 'decor', 'common', 'areas', 'people', 'reception', 'happy', 'smiling', 'time', 'breakfast', 'excellent', 'pool', 'small', 'fine', 'want', 'take', 'dip', 'hesitate', 'stay', 'surrounding', 'area', 'bit', 'rough', 'great', 'restaurants', 'doorstep']"
pretentious and poor service,Terrible,2023-09-01,i normally would not submit a bad review but most of the employees at this hotel were incredibly pretentious and rude and the drink and door service was very poor which is a shame since the breakfast food was great the 90eur credit they offered seemed great but then at 30eur for a 4oz glass of wine it feels like a scam we were so put off we decided not to eat in their 1 michelin star restaurant which they were quick to tell us about again and again someone should be reconsidering their michelin star ,64,September 2023,2023,September,4,96,positive,"['normally', 'would', 'submit', 'bad', 'review', 'employees', 'hotel', 'incredibly', 'pretentious', 'rude', 'drink', 'door', 'service', 'poor', 'shame', 'since', 'breakfast', 'food', 'great', '90eur', 'credit', 'offered', 'seemed', 'great', '30eur', '4oz', 'glass', 'wine', 'feels', 'like', 'scam', 'put', 'decided', 'eat', 'michelin', 'star', 'restaurant', 'quick', 'tell', 'someone', 'reconsidering', 'michelin', 'star']"
worth the ,Excellent,2023-09-01,the room was nice the hotel staff was great especially andrea he was very helpful and made some great recommendations for us being able to use the spa facilities was a huge plus especially after flying in and with any down time we had breakfast was really good would stay here again ,13,September 2023,2023,September,2,52,positive,"['room', 'nice', 'hotel', 'staff', 'great', 'especially', 'andrea', 'helpful', 'made', 'great', 'recommendations', 'able', 'use', 'spa', 'facilities', 'huge', 'plus', 'especially', 'flying', 'time', 'breakfast', 'really', 'good', 'would', 'stay']"
cozy like a railroad flat,Average,2023-09-01,the staff is super no complaint there the food was wonderful both breakfast an a snack at the bar so no complaint there the location is a bit funky but extremely convenient to everything we choose to do so again no complaint there so why the three stars instead of four or five the architect designer clearly never spent a night at his creation the rooms are cruise ship small the closet space could not accommodate our reasonable amount of clothing we kept our belongings in our luggage for the most part there were only two small drawers for clothing oh and nowhere to store your luggage they lined our narrow entry alleyway the number of times i stubbed my toe or wacked my shin in the six days of our stay were in the high two figures but you can t open the teeny ,78,September 2023,2023,September,5,145,positive,"['staff', 'super', 'complaint', 'food', 'wonderful', 'breakfast', 'snack', 'bar', 'complaint', 'location', 'bit', 'funky', 'extremely', 'convenient', 'everything', 'choose', 'complaint', 'three', 'stars', 'instead', 'four', 'five', 'architect', 'designer', 'clearly', 'never', 'spent', 'night', 'creation', 'rooms', 'cruise', 'ship', 'small', 'closet', 'space', 'could', 'accommodate', 'reasonable', 'amount', 'clothing', 'kept', 'belongings', 'luggage', 'part', 'two', 'small', 'drawers', 'clothing', 'nowhere', 'store', 'luggage', 'lined', 'narrow', 'entry', 'alleyway', 'number', 'times', 'stubbed', 'toe', 'wacked', 'shin', 'six', 'days', 'stay', 'high', 'two', 'figures', 'open', 'teeny']"
birthday trip,Excellent,2023-08-01,fabulous hotel it s not perhaps the prettiest location overlooking a busy port but we loved it harbour view room 507 watching cruise ships ferries hydrofoils etc room is compact but super comfy breakfast on 9th floor is fab excellent staff lovely pool it s not big but it s a city hotel it s a super chic hotel with excellent staff the one negative comment would be be careful when you order drinks we did get a surprise which put us off a bit also amazing spa gym also birthday celebration and were presented with the most amazing tasting cake at breakfast the birthday boy said best ever cake he s eaten wow it was amazing,95,August 2023,2023,August,2,117,positive,"['fabulous', 'hotel', 'perhaps', 'prettiest', 'location', 'overlooking', 'busy', 'port', 'loved', 'harbour', 'view', 'room', '507', 'watching', 'cruise', 'ships', 'ferries', 'hydrofoils', 'etc', 'room', 'compact', 'super', 'comfy', 'breakfast', '9th', 'floor', 'fab', 'excellent', 'staff', 'lovely', 'pool', 'big', 'city', 'hotel', 'super', 'chic', 'hotel', 'excellent', 'staff', 'one', 'negative', 'comment', 'would', 'careful', 'order', 'drinks', 'get', 'surprise', 'put', 'bit', 'also', 'amazing', 'spa', 'gym', 'also', 'birthday', 'celebration', 'presented', 'amazing', 'tasting', 'cake', 'breakfast', 'birthday', 'boy', 'said', 'best', 'ever', 'cake', 'eaten', 'wow', 'amazing']"
wonderful hotel ,Excellent,2023-08-01,absolutely amazing hotel the area is eh but the staff the facilities the breakfast everything was so great if you have to spend a night in napoli i would absolutely recommend this hotel chiara i believe the manager was extremely accommodating and helpful ,8,August 2023,2023,August,2,43,positive,"['absolutely', 'amazing', 'hotel', 'area', 'staff', 'facilities', 'breakfast', 'everything', 'great', 'spend', 'night', 'napoli', 'would', 'absolutely', 'recommend', 'hotel', 'chiara', 'believe', 'manager', 'extremely', 'accommodating', 'helpful']"
terrific hotel facilities people,Excellent,2023-07-01,had a wonderful stay with the family rezervations and front office staff arranged all our plans for site visits and trips in the area fabulous design and art very central high quality in everything people rooms food experience from reservations reception concierge bellboys waiters to housekeeping everyone very competent and professional our children who are basically adults now were very happy as well adult and quiet place might not be ideal for young children would visit other properties if they open them would come back again,1,July 2023,2023,July,4,86,positive,"['wonderful', 'stay', 'family', 'rezervations', 'front', 'office', 'staff', 'arranged', 'plans', 'site', 'visits', 'trips', 'area', 'fabulous', 'design', 'art', 'central', 'high', 'quality', 'everything', 'people', 'rooms', 'food', 'experience', 'reservations', 'reception', 'concierge', 'bellboys', 'waiters', 'housekeeping', 'everyone', 'competent', 'professional', 'children', 'basically', 'adults', 'happy', 'well', 'adult', 'quiet', 'place', 'might', 'ideal', 'young', 'children', 'would', 'visit', 'properties', 'open', 'would', 'come', 'back']"
great location great gym excellent pastry ,Very Good,2023-07-01,the breakfast buffet has great pastries sfogliatella roman cream bun mini strawberry tarts and the list goes on for us this was the highlight with a michelin star restaurant we expected the pastry to be good and we weren t disappointed the coffee is well made and tastes good with all that eating we were so pleased to see this hotel had a large very well equipped gym the gym contains techno gym equipment and proper weights it s one of the best gyms we have visited at a five star hotel in italy the reception and downstairs staff are friendly we thought the location was great it s easy to walk around the centre of naples and the hotel faces the harbor where the big cruise ships dock one small thing one morning we had breakfast around 9 30am and it was very ,299,July 2023,2023,July,6,144,positive,"['breakfast', 'buffet', 'great', 'pastries', 'sfogliatella', 'roman', 'cream', 'bun', 'mini', 'strawberry', 'tarts', 'list', 'goes', 'highlight', 'michelin', 'star', 'restaurant', 'expected', 'pastry', 'good', 'disappointed', 'coffee', 'well', 'made', 'tastes', 'good', 'eating', 'pleased', 'see', 'hotel', 'large', 'well', 'equipped', 'gym', 'gym', 'contains', 'techno', 'gym', 'equipment', 'proper', 'weights', 'one', 'best', 'gyms', 'visited', 'five', 'star', 'hotel', 'italy', 'reception', 'downstairs', 'staff', 'friendly', 'thought', 'location', 'great', 'easy', 'walk', 'around', 'centre', 'naples', 'hotel', 'faces', 'harbor', 'big', 'cruise', 'ships', 'dock', 'one', 'small', 'thing', 'one', 'morning', 'breakfast', 'around', '30am']"
hotel romeo saved the trip ,Excellent,2023-07-01,hotel romeo was a bit out of our price range so we didn t originally book here my sister and i were traveling through europe for 3 weeks and naples was the last stop after checking in at another hotel where it did not live up to its photos in many ways and also didn t uphold the marina view room price we booked we called hotel romeo they had limited rooms left but were able to work with us on finding a room for three nights it was absolutely perfect amazing location tremendous hospitality from beginning to end close to the ferry as we spent a day in capri spa was really wonderful one of my best massages ever the breakfast was divine and pool area spotless would stay again in a heart beat special shout out to stefania at the front desk who was our go to got ,3,July 2023,2023,July,5,150,positive,"['hotel', 'romeo', 'bit', 'price', 'range', 'originally', 'book', 'sister', 'traveling', 'europe', 'weeks', 'naples', 'last', 'stop', 'checking', 'another', 'hotel', 'live', 'photos', 'many', 'ways', 'also', 'uphold', 'marina', 'view', 'room', 'price', 'booked', 'called', 'hotel', 'romeo', 'limited', 'rooms', 'left', 'able', 'work', 'finding', 'room', 'three', 'nights', 'absolutely', 'perfect', 'amazing', 'location', 'tremendous', 'hospitality', 'beginning', 'end', 'close', 'ferry', 'spent', 'day', 'capri', 'spa', 'really', 'wonderful', 'one', 'best', 'massages', 'ever', 'breakfast', 'divine', 'pool', 'area', 'spotless', 'would', 'stay', 'heart', 'beat', 'special', 'shout', 'stefania', 'front', 'desk', 'got']"
a marvelously run hotel,Excellent,2023-07-01,it was a real pleasure to stay at this hotel the staff is outstanding and always shows great warmth and professionalism they go out of their way to be helpful in every way possible the location is excellent while facing the port with the huge cruise ships would not be my choice the location is so central to all the major sites in the city the breakfasts were excellent i did not dine in their fine dining restaurant there is a small pool with a great view of the harbor thank you to the entire staff for making my stay so very enjoyable ,427,July 2023,2023,July,4,103,positive,"['real', 'pleasure', 'stay', 'hotel', 'staff', 'outstanding', 'always', 'shows', 'great', 'warmth', 'professionalism', 'way', 'helpful', 'every', 'way', 'possible', 'location', 'excellent', 'facing', 'port', 'huge', 'cruise', 'ships', 'would', 'choice', 'location', 'central', 'major', 'sites', 'city', 'breakfasts', 'excellent', 'dine', 'fine', 'dining', 'restaurant', 'small', 'pool', 'great', 'view', 'harbor', 'thank', 'entire', 'staff', 'making', 'stay', 'enjoyable']"
stay elsewhere,Terrible,2023-06-01,the only reason i picked this hotel is because i m a globalist with hyatt this however is not a typical hyatt they do not provide any of the same perks we called a few days before our arrival and asked about early check in and they told us we needed to book another night i truly disliked this hotel and the manager we had an issue with one of the rooms and the manager was completely unaccommodating and arrogant this was supposedly a five star hotel and it had none of the characteristics the rooms were clean i ll give it that the view was of an old ugly building and was supposed to be a harbor view if you stood on the far right side of the window you could see the harbor the bed was two twins stuck together and the pool was about the size of a postage stamp ,4,June 2023,2023,June,2,153,negative,"['reason', 'picked', 'hotel', 'globalist', 'hyatt', 'however', 'typical', 'hyatt', 'provide', 'perks', 'called', 'days', 'arrival', 'asked', 'early', 'check', 'told', 'needed', 'book', 'another', 'night', 'truly', 'disliked', 'hotel', 'manager', 'issue', 'one', 'rooms', 'manager', 'completely', 'unaccommodating', 'arrogant', 'supposedly', 'five', 'star', 'hotel', 'none', 'characteristics', 'rooms', 'clean', 'give', 'view', 'old', 'ugly', 'building', 'supposed', 'harbor', 'view', 'stood', 'far', 'right', 'side', 'window', 'could', 'see', 'harbor', 'bed', 'two', 'twins', 'stuck', 'together', 'pool', 'size', 'postage', 'stamp']"
not worth the money,Poor,2023-06-01,stayed twice 1 night each at the beginning and end of a boating vacation out of the naples harbor high design hotel but pay attention or you won t be able to work the shower the windows in the 9th floor restaurant are beautiful but radiated so much heat i had to move the restaurant is stupidly expensive and honestly the local trattoria was better then there s the staff the front desk is mediocre and the valets can t even call a cab having to rely on the front desk staff we had the front desk book a car tot the train stain for 4 people and 5 bags the car that came was too small so running out of time to catch our train we asked for 2 normal sized cabs the front desk manager was so irritated she came out and started berating us an insisted this was all our fault ,4,June 2023,2023,June,4,154,positive,"['stayed', 'twice', 'night', 'beginning', 'end', 'boating', 'vacation', 'naples', 'harbor', 'high', 'design', 'hotel', 'pay', 'attention', 'able', 'work', 'shower', 'windows', '9th', 'floor', 'restaurant', 'beautiful', 'radiated', 'much', 'heat', 'move', 'restaurant', 'stupidly', 'expensive', 'honestly', 'local', 'trattoria', 'better', 'staff', 'front', 'desk', 'mediocre', 'valets', 'even', 'call', 'cab', 'rely', 'front', 'desk', 'staff', 'front', 'desk', 'book', 'car', 'tot', 'train', 'stain', 'people', 'bags', 'car', 'came', 'small', 'running', 'time', 'catch', 'train', 'asked', 'normal', 'sized', 'cabs', 'front', 'desk', 'manager', 'irritated', 'came', 'started', 'berating', 'insisted', 'fault']"
excellent,Excellent,2023-06-01,excellent service food and ambiance will def come back again the restaurant tasting menu was superb and the pool im the roof is a nice addition to relax after walking around naples reception team were attentive and professional ,4,June 2023,2023,June,1,38,positive,"['excellent', 'service', 'food', 'ambiance', 'def', 'come', 'back', 'restaurant', 'tasting', 'menu', 'superb', 'pool', 'roof', 'nice', 'addition', 'relax', 'walking', 'around', 'naples', 'reception', 'team', 'attentive', 'professional']"
an amazing stay ,Excellent,2023-06-01,the romeo completely exceeding our expectations such a beautiful hotel with amazing service by far the best hotel we have ever been to from the initial check in nicole helped us and was so sweet helpful and gave great recommendations she definitely took our experience from a 9 10 to a solid 1000 10 next time we are in naples we are 100 staying at the romeo hotel ,1,June 2023,2023,June,3,68,positive,"['romeo', 'completely', 'exceeding', 'expectations', 'beautiful', 'hotel', 'amazing', 'service', 'far', 'best', 'hotel', 'ever', 'initial', 'check', 'nicole', 'helped', 'sweet', 'helpful', 'gave', 'great', 'recommendations', 'definitely', 'took', 'experience', 'solid', '1000', 'next', 'time', 'naples', '100', 'staying', 'romeo', 'hotel']"
the best choice in naples,Excellent,2023-05-01,the romeo in naples is one of the best hospitality experiences i have had in europe till date the staff was very warm and very well appointed rooms very courteous staff who were more than willing to make your trip as comfortable as possible had dinner in their specialty restaurant and it was just an excellent experience though location is not absolute city center but still it was a good option for us ,13,May 2023,2023,May,5,73,positive,"['romeo', 'naples', 'one', 'best', 'hospitality', 'experiences', 'europe', 'till', 'date', 'staff', 'warm', 'well', 'appointed', 'rooms', 'courteous', 'staff', 'willing', 'make', 'trip', 'comfortable', 'possible', 'dinner', 'specialty', 'restaurant', 'excellent', 'experience', 'though', 'location', 'absolute', 'city', 'center', 'still', 'good', 'option']"
nice but pricey and i would consider elsewhere next time ,Average,2023-06-01,easy to get to lovely staff comfortable bed good breakfast buffet view from corner junior suite not the greatest tatty warehouse directly opposite expensive valet parking expensive room service options decor eclectic the room seemed not to make best use of space just seemed smaller than stated size frustrating electrically operated curtains the lobby area is nice with a nice bar and more eclectic decor nice cacti display around outside of the hotel i did not eat in the restaurant but it does have an expensive michelin star restaurant overall the price of the hotel is too much for what it has although we did enjoy our stay ,431,June 2023,2023,June,10,108,positive,"['easy', 'get', 'lovely', 'staff', 'comfortable', 'bed', 'good', 'breakfast', 'buffet', 'view', 'corner', 'junior', 'suite', 'greatest', 'tatty', 'warehouse', 'directly', 'opposite', 'expensive', 'valet', 'parking', 'expensive', 'room', 'service', 'options', 'decor', 'eclectic', 'room', 'seemed', 'make', 'best', 'use', 'space', 'seemed', 'smaller', 'stated', 'size', 'frustrating', 'electrically', 'operated', 'curtains', 'lobby', 'area', 'nice', 'nice', 'bar', 'eclectic', 'decor', 'nice', 'cacti', 'display', 'around', 'outside', 'hotel', 'eat', 'restaurant', 'expensive', 'michelin', 'star', 'restaurant', 'overall', 'price', 'hotel', 'much', 'although', 'enjoy', 'stay']"
loved this hotel,Excellent,2023-05-01,we started our three week trip in italy and malta at the romeo hotel in naples the staff is friendly and super accomodating i wanted a last minute street art tour and they found someone who was really good in an hour the spa is really great with infra red saunas a salt room and great steam and sauna area you can easily spend the day there they make a great martini at their fabulous bar the design of the hotel is so interesting and everywhere you look you see something that you didn t see before the rooms are great and i left my ipad and it was waiting for me when ir returned to naples three weeks later i really wanted to stay there on my way back but they were full i highly recommend this hotel when you re in naples ,13,May 2023,2023,May,3,144,positive,"['started', 'three', 'week', 'trip', 'italy', 'malta', 'romeo', 'hotel', 'naples', 'staff', 'friendly', 'super', 'accomodating', 'wanted', 'last', 'minute', 'street', 'art', 'tour', 'found', 'someone', 'really', 'good', 'hour', 'spa', 'really', 'great', 'infra', 'red', 'saunas', 'salt', 'room', 'great', 'steam', 'sauna', 'area', 'easily', 'spend', 'day', 'make', 'great', 'martini', 'fabulous', 'bar', 'design', 'hotel', 'interesting', 'everywhere', 'look', 'see', 'something', 'see', 'rooms', 'great', 'left', 'ipad', 'waiting', 'returned', 'naples', 'three', 'weeks', 'later', 'really', 'wanted', 'stay', 'way', 'back', 'full', 'highly', 'recommend', 'hotel', 'naples']"
rainy time in naples,Excellent,2023-05-01,despite the rainy weather hotel romeo was a highlight and made out time in naples exceptional from the caring and helpful staff to simply the best hotel umbrellas i ve experienced the hotel spa is brilliant and easily worth spending an hour using the facility great views from our room to the harbour and great restaurant recommendations ,31,May 2023,2023,May,4,57,positive,"['despite', 'rainy', 'weather', 'hotel', 'romeo', 'highlight', 'made', 'time', 'naples', 'exceptional', 'caring', 'helpful', 'staff', 'simply', 'best', 'hotel', 'umbrellas', 'experienced', 'hotel', 'spa', 'brilliant', 'easily', 'worth', 'spending', 'hour', 'using', 'facility', 'great', 'views', 'room', 'harbour', 'great', 'restaurant', 'recommendations']"
great sleep nice room service quality varied and expensive ,Average,2023-05-01,service varied by way of quality at breakfast we were not told there were hot options available on request we only found out when we saw another guest getting fried poached eggs etc by then it was too late on contrast the staff on reception were exceptional spa is great rooms clean bright and so comfy if service was consistently high i would have scored more this is a 5 star hotel and imo plenty of room for improvement in that department ,4,May 2023,2023,May,9,82,positive,"['service', 'varied', 'way', 'quality', 'breakfast', 'told', 'hot', 'options', 'available', 'request', 'found', 'saw', 'another', 'guest', 'getting', 'fried', 'poached', 'eggs', 'etc', 'late', 'contrast', 'staff', 'reception', 'exceptional', 'spa', 'great', 'rooms', 'clean', 'bright', 'comfy', 'service', 'consistently', 'high', 'would', 'scored', 'star', 'hotel', 'imo', 'plenty', 'room', 'improvement', 'department']"
a wonderful stay in a marvelous city ,Excellent,2023-05-01,we were genuinely surprised how friendly the people of naples are and how fascinating the city is our home and really it felt like home was romeo napoli and the hotel staff were our new family the hotel is stylish but comfortable incredibly stylish but also comfortable and welcoming ,1,May 2023,2023,May,7,49,positive,"['genuinely', 'surprised', 'friendly', 'people', 'naples', 'fascinating', 'city', 'home', 'really', 'felt', 'like', 'home', 'romeo', 'napoli', 'hotel', 'staff', 'new', 'family', 'hotel', 'stylish', 'comfortable', 'incredibly', 'stylish', 'also', 'comfortable', 'welcoming']"
stay review,Excellent,2023-05-01,hotel was very well appointed stay was very kind and attentive upon our departure at 6 30am staff put together a to go breakfast for us to take to the airport this was the cherry on top for us very we ll done ,3,May 2023,2023,May,2,43,positive,"['hotel', 'well', 'appointed', 'stay', 'kind', 'attentive', 'upon', 'departure', '30am', 'staff', 'put', 'together', 'breakfast', 'take', 'airport', 'cherry', 'top', 'done']"
stylish and comfortable,Excellent,2023-04-01,the staff at romeo are top notch and helped us to relax and enjoy our stay while in naples the decor at romeo is stylish but not over the top our suite was a good size clean and very comfortable the coffee was excellent and the breakfast items high quality my wife tells me the salt room at the spa was very nice we have traveled a lot all over the world and we can definitely say romeo is a fantastic hotel ,1,April 2023,2023,April,3,82,positive,"['staff', 'romeo', 'top', 'notch', 'helped', 'relax', 'enjoy', 'stay', 'naples', 'decor', 'romeo', 'stylish', 'top', 'suite', 'good', 'size', 'clean', 'comfortable', 'coffee', 'excellent', 'breakfast', 'items', 'high', 'quality', 'wife', 'tells', 'salt', 'room', 'spa', 'nice', 'traveled', 'lot', 'world', 'definitely', 'say', 'romeo', 'fantastic', 'hotel']"
april trip,Excellent,2023-04-01,beautiful hotel lovely design fixtures and fittings and top quality service outstanding breakfast and spa experience was great food in downstairs bar was also very good overall a great experience ,2,April 2023,2023,April,2,30,positive,"['beautiful', 'hotel', 'lovely', 'design', 'fixtures', 'fittings', 'top', 'quality', 'service', 'outstanding', 'breakfast', 'spa', 'experience', 'great', 'food', 'downstairs', 'bar', 'also', 'good', 'overall', 'great', 'experience']"
a fantastic hotel in naples,Excellent,2023-03-01,really a fantastic hotel what really made it was the staff not only was everyone incredibly helpful and willing to do anything to make our stay better they always remembered who we were and what we d needed before nothing every got dropped rare even at a 5 star hotel ,20,March 2023,2023,March,5,50,positive,"['really', 'fantastic', 'hotel', 'really', 'made', 'staff', 'everyone', 'incredibly', 'helpful', 'willing', 'anything', 'make', 'stay', 'better', 'always', 'remembered', 'needed', 'nothing', 'every', 'got', 'dropped', 'rare', 'even', 'star', 'hotel']"
